filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Billy Squier - She Goes Down.m4a,Billy Squier,She Goes Down,247.33,uploaded,2024-11-12 10:19:08,1698336815585,1698335051610
Black Lab - Wash It Away.m4a,Black Lab,Wash It Away,254.29,uploaded,2024-11-12 10:19:16,1698323714184,pending
Blind Melon - No Rain.m4a,Blind Melon,No Rain,217.2,uploaded,2024-11-12 10:19:21,1698301465226,1698289828111
Blind Melon - Tones of Home.m4a,Blind Melon,Tones of Home,266.88,uploaded,2024-11-12 10:19:29,1698335138196,1698304758568
blink-182 - All the Small Things.m4a,blink-182,All the Small Things,167.03,uploaded,2024-11-12 10:19:38,1698301173433,1698334163308
blink-182 - What's My Age Again.m4a,blink-182,What's My Age Again?,148.36,uploaded,2024-11-12 10:19:47,1698335708402,1700830521432
Blues Traveler - Carolina Blues.m4a,Blues Traveler,Carolina Blues,284.51,uploaded,2024-11-12 10:19:54,1698333695683,1698310355502
Blues Traveler - Hook.m4a,Blues Traveler,Hook,289.2,uploaded,2024-11-12 10:20:04,1698300980593,1698296365526
Blues Traveler - Run-Around.m4a,Blues Traveler,Run-Around,279.8,uploaded,2024-11-12 10:20:13,1698338248475,1698302455097
Blur - Song 2.m4a,Blur,Song 2,121.16,uploaded,2024-11-12 10:20:19,1698323120958,1698302740244
Bob Rivers & Twisted Radio - The Twelve Pains of Christmas.m4a,Bob Rivers & Twisted Radio,The Twelve Pains of Christmas,221.64,uploaded,2024-11-12 10:20:30,1698325808745,1698301771144
Bob Seger & The Silver Bullet Band - Take a Chance.m4a,Bob Seger & The Silver Bullet Band,Take a Chance,221.61,uploaded,2024-11-12 10:20:38,1698334989476,1698310448939
Bob Seger & The Silver Bullet Band - The Real Love.m4a,Bob Seger & The Silver Bullet Band,The Real Love,279.87,uploaded,2024-11-12 10:20:48,1698336693444,1698291109929
Bon Jovi - Keep the Faith.m4a,Bon Jovi,Keep the Faith,346.69,uploaded,2024-11-12 10:21:11,1698297191582,1698325287650
Bon Jovi - Please Come Home for Christmas.m4a,Various Artists,Please Come Home for Christmas,172.93,uploaded,2024-11-12 10:21:18,1698336266010,1700831538158
Bonnie Raitt - Something to Talk About.m4a,Bonnie Raitt,Something to Talk About,227.57,uploaded,2024-11-12 10:21:23,1698335819801,1698340043574
Brian May - Driven By You.m4a,Brian May,Driven By You,251.99,uploaded,2024-11-12 10:21:35,1698326324745,1698337007947
