file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut1_dbo_id,cut1_other_id,cut2_dbo_id,cut2_other_id,cut3_dbo_id,cut3_other_id,cut_time1,cut_time2,cut_time3
The Smashing Pumpkins - Eye.m4a,1698877180417,294.44,2024-12-02 17:47:57,30,10,3,1713277225977,1713280072107,1713288445306,1713288385360,1713277838183,1713568245047,1713569085473,1713566145331,1713565751252,1713571835717,1713569841083,243,265,266
The Smashing Pumpkins - Landslide.m4a,1698872555651,190.57,2024-12-02 17:48:02,30,10,3,1713288390501,1713284857660,1713281205056,1713279203346,1713278317615,1713568033941,1713567409963,1713572467078,1713565228280,1713565953153,1713567966156,60,89,93
The Smashing Pumpkins - Muzzle.m4a,1698876078319,223.92,2024-12-02 17:48:06,30,10,3,1713278474035,1713277679187,1713289259585,1713278387235,1713279798747,1713564923029,1713565773264,1713565107695,1713570189192,1713568127064,1713567426870,67,79,206
The Smashing Pumpkins - Perfect.m4a,1698877268406,202.68,2024-12-02 17:48:11,30,10,3,1713278691829,1713289703678,1713284838107,1713278183813,1713279299732,1713572538166,1713571750970,1713569627614,1713566812020,1713567063851,1713570789309,142,175,179
The Smashing Pumpkins - The Beginning Is the End Is the Beginning.m4a,1698879733697,300.32,2024-12-02 17:48:16,30,10,3,1713279680531,1713290018283,1713280394313,1713290037401,1713279693580,1713566918250,1713570567657,1713566920328,1713570364381,1713572637495,1713570479899,83,96,263
The Smashing Pumpkins - Thirty-Three.m4a,1698877701350,250.29,2024-12-02 17:48:20,30,10,3,1713280696071,1713283166191,1713287003415,1713290414163,1713289451704,1713568252722,1713573027766,1713568084307,1713573781843,1713569509283,1713572347026,34,160,187
The Smashing Pumpkins - Today.m4a,1698879111884,201.2,2024-12-02 17:48:25,30,10,3,1713290510128,1713286650642,1713282659564,1713280047983,1713280939178,1713568919611,1713566965434,1713570164644,1713573289647,1713573901632,1713572599162,52,81,178
"The Smashing Pumpkins - Tonight, Tonight.m4a",1698885483718,254.63,2024-12-02 17:48:55,30,10,3,1713286189762,1713287502516,1713287920486,1713286422429,1713290774314,1713573508451,1713571581217,1713573414575,1713574055825,1713570678071,1713568117850,91,103,161
The Smashing Pumpkins - Zero.m4a,1698876853810,160.2,2024-12-02 17:48:59,30,10,3,1713291722036,1713280451094,1713291532502,1713291016336,1713288073401,1713570395426,1713567099622,1713571849332,1713567856188,1713574631029,1713570789497,51,66,111
The Smithereens - Blues Before and After.m4a,1698881963978,195.89,2024-12-02 17:49:04,30,10,3,1713292144413,1713281706263,1713282930751,1713280933378,1713291403187,1713570757211,1713574999069,1713575091687,1713570560743,1713574004657,1713571539970,89,104,142
The Smithereens - Tell Me When Did Things Go So Wrong.m4a,1698882193880,142.09,2024-12-02 17:49:08,30,10,3,1713280221227,1713280393305,1713282109468,1713288426287,1713284980476,1713571492437,1713571970275,1713568703840,1713567890079,1713568035881,1713570364165,49,53,100
The Soundlings & The Coverups - Laying Down the Law.m4a,1698883166043,136.93,2024-12-02 17:49:13,30,10,3,1713283672592,1713282102597,1713291655193,1713283628648,1713291932680,1713574550169,1713572135554,1713573683557,1713572454909,1713574974432,1713570721396,93,117,118
The Soup Dragons - Divine Thing.m4a,1698887413545,232.17,2024-12-02 17:49:17,30,10,3,1713292664727,1713282621554,1713281708571,1713291548971,1713288740420,1713572713589,1713569768786,1713572223675,1713570896596,1713574115382,1713575420676,75,138,179
The Stone Roses - Love Spreads.m4a,1698878761434,347.09000000000003,2024-12-02 17:49:22,30,10,3,1713288721302,1713284802656,1713292835604,1713288032449,1713284833765,1713571261266,1713572147931,1713569272250,1713574004555,1713569617441,1713571842183,65,210,281
