259,What Would You Say,Dave Matthews Band,1,1995
260,Plowed,Sponge,2,1995
261,Until The End Of The World,U2,2,1992
262,Fly,Sugar Ray Featuring Super Cat,1,1997
263,Hitchin' A Ride,Green Day,1,1997
264,Hey Jealousy,Gin Blossoms,2,1993
265,Denial,Sevendust,3,1999
266,Man On The Moon,R.E.M.,2,1993
267,Into The Great Wide Open,Tom Petty And The Heartbreakers,1,1991
268,Don't Speak,No Doubt,3,1996
269,Down By The Water,PJ Harvey,1,1995
270,The Sky Is Crying,Stevie Ray Vaughan And Double Trouble,1,1991
271,Jumper,Third Eye Blind,1,1998
272,Love Spreads,The Stone Roses,5,1995
273,Roll The Bones,Rush,1,1991
274,Laying Down The Law,The Law,2,1991
275,The Difference,The Wallflowers,2,1997
276,3 Strange Days,School Of Fish,2,1991
277,Champagne Supernova,Oasis,1,1996
278,You Wanted More,Tonic,2,1999
279,Bad Thing,Cry Of Love,1,1993
280,Say Hello 2 Heaven,Temple Of The Dog,1,1993
281,Terrifying,The Rolling Stones,2,1990
282,Sweetest Thing,U2,2,1998
283,You Get What You Give,New Radicals,2,1999
284,Comedown,Bush,1,1995
285,Mouth,Bush,1,1997
286,Precious Declaration,Collective Soul,1,1997
287,All Star,Smash Mouth,1,1999
288,Alive,Pearl Jam,4,1992
289,Geek Stink Breath,Green Day,2,1995
290,Enemy,Days Of The New,1,1999
291,A Long December,Counting Crows,3,1997
292,Perfect,The Smashing Pumpkins,1,1998
293,Blue Monday,Orgy,6,1999
294,Special,Garbage,3,1999
295,You,Candlebox,5,1994
296,Again Tonight,John Mellencamp,1,1992
297,No Myth,Michael Penn,1,1990
298,Real World,Queensryche,2,1993
299,Staring At The Sun,U2,1,1997
300,Pretty Noose,Soundgarden,1,1996
301,Eat The Rich,Aerosmith,3,1993
302,Shelter Me,Cinderella,2,1990
303,Dancing Days,Stone Temple Pilots,1,1995
304,The Dream Is Over,Van Halen,2,1992
305,Rest In Peace,Extreme,2,1992
306,I Think I Love You Too Much,The Jeff Healey Band,2,1990
307,Save Yourself,Stabbing Westward,3,1998
308,Time After Time,Ozzy Osbourne,2,1992
309,Love Is Strong,The Rolling Stones,1,1994
310,Volcano Girls,Veruca Salt,3,1997
311,Molly (Sixteen Candles),Sponge,2,1995
312,Don't Cry,Guns N' Roses,1,1991
313,Self Esteem,The Offspring,3,1994
314,Aenima,Tool,3,1997
315,Heaven Sent,INXS,2,1992
316,Last Kiss,Pearl Jam,1,1999
317,Cold Fire,Rush,3,1994
318,Can't Stop Fallin' Into Love,Cheap Trick,2,1990
319,What If I Came Knocking,John Mellencamp,1,1993
320,It's Love,King's X,2,1991
321,The Heart Of The Matter,Don Henley,2,1990
322,Wishlist,Pearl Jam,1,1998
323,Dreamline,Rush,1,1991
324,Praise You,Fatboy Slim,3,1999
325,Your Woman,White Town,2,1997
326,High Enough,Damn Yankees,2,1990
327,All I Know,Screaming Trees,3,1996
328,I Can't Dance,Genesis,3,1991
329,Almost Hear You Sigh,The Rolling Stones,1,1990
330,Angels Of The Silences,Counting Crows,1,1996
331,Forgotten Years,Midnight Oil,3,1990
332,Shiny Happy People,R.E.M.,2,1991
333,King Of New Orleans,Better Than Ezra,2,1996
334,Leech,Eve 6,3,1999
335,Poundcake,Van Halen,1,1991
336,Buddy Holly,Weezer,3,1994
337,Never Do That,The Pretenders,1,1990
338,Sunshower,Chris Cornell,2,1998
339,Graduate,Third Eye Blind,3,1997
340,Push It,Garbage,2,1998
341,Rush,Big Audio Dynamite II,3,1991
342,Who You Are,Pearl Jam,1,1996
343,I Think I'm Paranoid,Garbage,3,1998
344,Another Rainy Night (Without You),Queensryche,3,1991
345,Ends,Everlast,2,1999
346,Say It Ain't So,Weezer,3,1995
347,My Name Is,Eminem,2,1999
348,Discotheque,U2,1,1997
349,Empty Arms,Stevie Ray Vaughan And Double Trouble,1,1992
350,Too Many Ways To Fall,Arc Angels,3,1993
351,J.A.R.,Green Day,1,1995
352,Can't Stop Lovin' You,Van Halen,3,1995
353,Got The Life,KoRn,3,1998
354,Highwire,The Rolling Stones,2,1991
355,Human Touch,Bruce Springsteen,1,1992
356,King Of The Hill,Roger McGuinn,2,1991
357,Pets,Porno For Pyros,2,1993
358,Dissident,Pearl Jam,2,1994
359,Where It's At,Beck,5,1996
360,Unskinny Bop,Poison,1,1990
361,Human Wheels,John Mellencamp,3,1993
362,Wicked Garden,Stone Temple Pilots,3,1993
363,Gel,Collective Soul,2,1995
364,6th Avenue Heartache,The Wallflowers,4,1996
365,Truganini,Midnight Oil,2,1993
366,Around The World,Red Hot Chili Peppers,2,1999
367,Better Days (and the bottom drops out),Citizen King,3,1999
368,No Son Of Mine,Genesis,3,1991
369,I Got ID,Pearl Jam,1,1995
370,A Night On The Town,Bruce Hornsby And The Range,2,1990
371,The Calling,Yes,2,1994
372,Bawitdaba,Kid Rock,3,1999
373,Road To Nowhere,Ozzy Osbourne,3,1992
374,And Fools Shine On,Brother Cane,3,1995
375,The Dope Show,Marilyn Manson,4,1998
376,Bitter Tears,INXS,1,1991
377,Can't Get Enuff,Winger,3,1990
378,"What's The Frequency, Kenneth?",R.E.M.,1,1994
379,King Nothing,Metallica,4,1997
380,Ava Adore,The Smashing Pumpkins,2,1998
381,Stick It Out,Rush,2,1993
382,Undone ' The Sweater Song,Weezer,2,1994
383,Rooster,Alice In Chains,3,1993
384,Can't Change Me,Chris Cornell,2,1999
385,Karma Police,Radiohead,6,1998
386,Days Like These,Asia,1,1990
387,Blaze Of Glory,Jon Bon Jovi,1,1990
388,Song 2,Blur,4,1997
389,Boys Cry Tough,Bad Company,1,1990
390,Photograph,The Verve Pipe,3,1996
391,Freak Of The Week,Marvelous 3,3,1999
392,While My Guitar Gently Weeps,The Jeff Healey Band,2,1990
393,"Tonight, Tonight",The Smashing Pumpkins,3,1996
394,She,Green Day,4,1995
395,Thirty-Three,The Smashing Pumpkins,2,1997
396,The Dolphin's Cry,Live,1,1999
397,Sad But True,Metallica,3,1993
398,Pure Morning,Placebo,6,1998
399,River Of Deceit,Mad Season,1,1995
400,Salvation,The Cranberries,1,1996
401,Not Enough Time,INXS,2,1992
402,Cruel Little Number,The Jeff Healey Band,3,1992
403,Something To Believe In,Poison,2,1990
404,Live Forever,Oasis,2,1995
405,Lithium,Nirvana,5,1992
406,No Alibis,Eric Clapton,3,1990
407,Landslide,The Smashing Pumpkins,1,1994
408,Dragula,Rob Zombie,4,1998
409,Smokestack Lightning,Lynyrd Skynyrd 1991,3,1991
410,Muzzle,The Smashing Pumpkins,2,1996
411,Bitch,Meredith Brooks,1,1997
412,Where You Goin' Now,Damn Yankees,4,1992
413,Don't Tear Me Up,Mick Jagger,3,1993
414,The End Is The Beginning Is The End,The Smashing Pumpkins,2,1997
415,Sister,The Nixons,5,1996
416,Texarkana,R.E.M.,3,1991
417,No More Tears,Ozzy Osbourne,3,1991
418,Get A Haircut,George Thorogood & The Destroyers,2,1993
419,I Stay Away,Alice In Chains,5,1994
420,Blind Man,Aerosmith,6,1994
421,Follow You Down,Gin Blossoms,3,1996
422,Beautiful Disaster,311,5,1998
423,Cuts You Up,Peter Murphy,3,1990
424,Stinkfist,Tool,7,1996
425,Doll Parts,Hole,2,1994
426,Shake My Tree,Coverdale/Page,4,1993
427,Song & Emotion,Tesla,6,1992
428,Wicked As It Seems,Keith Richards,4,1992
429,Jump Right In,The Urge,4,1998
430,Bang And Blame,R.E.M.,2,1994
431,Blues Before And After,The Smithereens,3,1990
432,Criminal,Fiona Apple,5,1997
433,Til I Hear It From You,Gin Blossoms,1,1995
